1, 2, 0.0655
1, 9, 0.0864
1, 51, 0.1105
3, 4, 0.0899
3, 51, 0.2057
4, 5, 0.1451
4, 7, 0.124
5, 6, 0.0813
6, 28, 0.1549
7, 8, 0.1004
8, 25, 0.0793
8, 27, 0.1595
8, 33, 0.1923
9, 17, 0.1611
9, 22, 0.208
9, 23, 0.1363
10, 23, 0.1885
10, 31, 0.0917
11, 12, 0.1417
11, 52, 0.1504
12, 13, 0.1701
12, 45, 0.1331
13, 43, 0.1072
14, 15, 0.1805
14, 46, 0.131
14, 50, 0.2247
14, 52, 0.2212
15, 16, 0.091
16, 40, 0.129
17, 18, 0.1831
18, 19, 0.068
18, 21, 0.0984
19, 20, 0.0962
21, 54, 0.0578
22, 23, 0.185
22, 54, 0.1886
23, 24, 0.082
24, 25, 0.0894
26, 27, 0.068
27, 28, 0.1145
28, 53, 0.1635
29, 30, 0.1165
30, 43, 0.1465
30, 54, 0.102
31, 37, 0.0447
32, 39, 0.1458
33, 34, 0.0813
33, 39, 0.1193
34, 35, 0.076
35, 36, 0.0446
36, 53, 0.128
37, 43, 0.1008
38, 39, 0.119
38, 44, 0.1274
40, 41, 0.1387
41, 42, 0.1522
41, 53, 0.1734
42, 47, 0.182
42, 48, 0.177
44, 45, 0.1018
46, 47, 0.129
48, 49, 0.1576
49, 50, 0.0918
